"NAME","TAG","MIN CHARACTERS","MAX CHARACTERS","CHARACTER TYPES","RELEVANT TOPICS","DESCRIPTION","LINK"
"AM/FM Characterization","characterization","1","1","protagonist/love interest/peer","identity/backstory/emotion/memory/attraction/friendship","Music can convey a lot more than just what's in the lyrics, so matching this song with the {CHARACTER_0}'s character, while a bit of a cheat, is a fantastic way to convey a lot about them in not a lot of time. A mousy librarian suddenly takes on a wilder angle when their iPod is blaring Joan Jett and the Blackhearts.","https://tvtropes.org/pmwiki/pmwiki.php/Main/AMFMCharacterization"
"Campfire Character Exploration","characterization","1","NA","protagonist/peer/love interest","memory/backstory/friendship/attraction/identity/kissing","What better way is there to squeeze in some character revelations than a nice, calm campfire right before they drift off to sleep? The mood and lighting of the fire and the nighttime sky are good settings already, and {REMAINING_CHARACTERS} might also have some hidden secrets or pent-up stress that they'd like to share.","https://tvtropes.org/pmwiki/pmwiki.php/Main/CampfireCharacterExploration"
"Elite School Means Elite Brain","characterization","1","1","protagonist/peer/mentor/antagonist","school/backstory/identity","If a character's education includes prestigious schools, it means they're the smartest person in the room. It's often an easy way for authors to write a smart character. Portraying the {CHARACTER_0} cleverly solving problems and engaging in a subject well above the writer's understanding of the topic can be difficult. Saying the {CHARACTER_0} went to Harvard is not.","https://tvtropes.org/pmwiki/pmwiki.php/Main/EliteSchoolMeansEliteBrain"
"Literal Transformative Experience","characterization","1","1","protagonist/antagonist","prophecy/immortality/identity/backstory","The {CHARACTER_0} develops as a result of a physical transformation and the experiences therein. Regardless of whether the transformation is permanent, reversible, fast, slow, voluntary, accidental or deliberately inflicted, it can impact the character of the shapeshifter quite dramatically, alter their personalities and leave them with a vastly different outlook on the world.","https://tvtropes.org/pmwiki/pmwiki.php/Main/LiteralTransformativeExperience"
"Loony Friends Improve Your Personality","characterization","3","NA","protagonist/peer/mentor","friendship/school/identity/memory","A stiff character, the {CHARACTER_0}, learns and grows from unwanted interaction with annoying and eccentric people. There may be a montage as the {CHARACTER_0} remembers how things used to be, and how despite how much {REMAINING_CHARACTERS} irritate them, they have made stiff guy a better person by getting him to take off his Jade-Colored Glasses.","https://tvtropes.org/pmwiki/pmwiki.php/Main/LoonyFriendsImproveYourPersonality"
"Misery Builds Character","characterization","1","1","protagonist/peer","disaster/hatred/emotion/identity","The suffering that the {CHARACTER_0} goes through is believed to help their personal and spiritual development, though often in a vague, unspecified manner. When done right, this trope proves that someone can grow and mature once they've had their share of humble pie or have suffered enough to move themselves in a more positive direction.","https://tvtropes.org/pmwiki/pmwiki.php/Main/MiseryBuildsCharacter"
"Playing Catch with the Old Man","characterization","2","2","protagonist,mentor","family/backstory/memory","In fiction, a game of catch always shows the relationship between the {CHARACTER_0} and the {CHARACTER_1}. The most common type is a father-figure with their child. If the parent playing catch is a mother-figure instead, it can reveal she has to play the roles of both father and mother because the father isn't in the picture or that Mom is a bit tomboyish.","https://tvtropes.org/pmwiki/pmwiki.php/Main/PlayingCatchWithTheOldMan"
"A Shared Suffering","characterization","2","2","protagonist,peer/mentor/antagonist","backstory/emotion/friendship/attraction/tragedy","Sometimes a character like the {CHARACTER_0} will be having a rough time. However, there may be someone who can really understand what they're going through, such as someone they're close to, but not necessarily... like the {CHARACTER_1}. Either way, the two commiserate over similar struggles.","https://tvtropes.org/pmwiki/pmwiki.php/Main/ASharedSuffering"
"Role Swap Plot","plot","2","2","protagonist,peer/antagonist","diguise/distraction/friendship/identity","A plot device where the {CHARACTER_0} and the {CHARACTER_1} briefly swap roles with each other, or are transported into an alternate reality where the inhabitants' roles are different from what they were in the main story's universe.","https://tvtropes.org/pmwiki/pmwiki.php/Main/RoleSwapPlot"
"There Can Be Only One","plot","3","NA","peer/protagonist/antagonist","murder/betrayal/combat/disaster/hatred/rivalry/revenge/death","The long-term plot of the program revolves around a group of characters – {REMAINING_CHARACTERS} – whose numbers are being slowly whittled away by one means or another, usually by killing each other. In the case of some reality shows, this is a process of elimination intended to result in a single winner.","https://tvtropes.org/pmwiki/pmwiki.php/Main/ThereCanBeOnlyOne"
